[CANONICAL] Test A Stage 1 — EURUSD, split 2022-01-01..2024-12-31, TFs: D1, H4, H1, M15
  D1: 938 bars
  H4: 4833 bars
  H1: 18730 bars
  M15: 74770 bars

Stage-1 verdict registry
================================================================================================
tf    event_type                          n   evMFE   ctMFE  effect   hit%  ctHit%        p  verdict
M15   trendline_break_retest_bullish   1319   2.545   2.539  +0.006  49.7%   47.7%   0.4983  dead
M15   round_number_touch                294   2.320   2.334  -0.014  49.0%   45.9%   0.5187  dead
M15   entered_premium                  1720   2.395   2.400  -0.006  47.2%   46.8%   0.5252  dead
H4    fib_50_tag                        164   2.517   2.539  -0.022  48.8%   48.8%   0.5437  dead
H1    bull_engulfing                   1515   2.625   2.637  -0.011  50.1%   49.7%   0.5497  dead
H1    trendline_break_retest_bullish    292   2.530   2.555  -0.025  48.6%   48.6%   0.5577  dead
M15   pwl_touch                         434   2.340   2.365  -0.025  48.2%   47.8%   0.5737  dead
H4    outside_bar_bull                  298   2.581   2.607  -0.027  50.0%   47.4%   0.5742  dead
H4    bull_engulfing                    367   2.545   2.575  -0.031  48.5%   49.3%   0.5747  dead
H1    demand_zone_touch                 287   2.280   2.311  -0.031  50.2%   50.8%   0.5747  dead
M15   bos_bullish                       845   2.476   2.494  -0.018  46.6%   48.4%   0.5767  dead
H4    outside_bar_bear                  257   2.528   2.559  -0.031  50.2%   48.2%   0.5832  dead
H4    bear_pin                          261   2.567   2.594  -0.027  46.7%   47.4%   0.5842  dead
H1    trendline_liquidity_sweep_high    145   2.440   2.487  -0.047  45.5%   42.9%   0.5942  dead
M15   bear_pin                         4355   2.290   2.300  -0.010  45.9%   46.8%   0.5947  dead
H1    fib_382_tag                       611   2.679   2.709  -0.029  45.3%   48.8%   0.6097  dead
H1    equal_highs_pool                  152   2.601   2.684  -0.083  53.3%   50.4%   0.6177  dead
H1    bos_bearish                       226   2.570   2.621  -0.050  46.0%   48.0%   0.6292  dead
H4    fib_786_tag                       121   2.570   2.643  -0.073  49.6%   48.1%   0.6342  dead
M15   fib_382_tag                      2129   2.454   2.473  -0.019  48.1%   46.4%   0.6352  dead
H4    breaker_support_retest            149   2.365   2.442  -0.078  45.0%   47.9%   0.6547  dead
M15   bullish_ob_touch                  945   2.485   2.521  -0.036  44.9%   46.8%   0.6617  dead
M15   hs_completion                     110   2.538   2.652  -0.114  43.6%   49.6%   0.6662  dead
H4    inversion_fvg_bearish             344   2.453   2.507  -0.054  48.5%   48.3%   0.6742  dead
H1    equal_lows_pool                   160   2.599   2.703  -0.104  45.0%   50.5%   0.6762  dead
H4    fib_382_tag                       157   2.473   2.555  -0.082  47.8%   48.0%   0.6792  dead
H1    entered_premium                   423   2.573   2.635  -0.062  49.9%   47.6%   0.6847  dead
H4    hammer                            220   2.444   2.519  -0.075  47.7%   47.2%   0.6867  dead
H1    tweezer_bottom                   1770   2.700   2.734  -0.033  49.3%   49.9%   0.6892  dead
H1    inversion_fvg_bullish            1188   2.483   2.519  -0.035  47.5%   49.6%   0.6912  dead
M15   equal_highs_pool                  724   2.289   2.335  -0.046  49.7%   47.9%   0.6962  dead
H1    evening_star                      246   2.551   2.632  -0.081  48.8%   51.1%   0.6992  dead
H1    bear_engulfing                   1564   2.673   2.710  -0.038  47.4%   49.5%   0.7056  dead
M15   outside_bar_bull                 2788   2.402   2.432  -0.030  46.3%   47.4%   0.7136  dead
M15   demand_zone_touch                1004   2.494   2.548  -0.054  45.1%   47.7%   0.7191  dead
M15   hammer                           3471   2.288   2.316  -0.028  45.7%   47.1%   0.7266  dead
H1    three_white_soldiers              150   2.118   2.243  -0.125  44.0%   44.1%   0.7306  dead
H1    ntouch_support_touch              341   2.486   2.587  -0.101  50.1%   49.4%   0.7561  dead
M15   pdh_touch                        1435   2.523   2.578  -0.055  49.1%   47.9%   0.7596  dead
H1    bearish_fvg_touch                1080   2.602   2.659  -0.057  49.0%   48.6%   0.7621  dead
M15   trendline_liquidity_sweep_high    493   2.650   2.749  -0.099  44.0%   47.4%   0.7631  dead
M15   asia_high_sweep                   430   2.910   3.017  -0.107  47.2%   50.6%   0.7716  dead
H1    entered_discount                  431   2.416   2.500  -0.084  55.0%   51.0%   0.7736  dead
