sample_idx,anchor_ts,weak_label,predicted_label,offset,ts,open,high,low,close,volume
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-40,2024-08-28T04:00:00+00:00,1.11657,1.11679,1.11351,1.11562,22485.26
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-39,2024-08-28T08:00:00+00:00,1.11561,1.11593,1.11173,1.11205,41270.17
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-38,2024-08-28T12:00:00+00:00,1.11206,1.11377,1.1105,1.1126,68276.39
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-37,2024-08-28T16:00:00+00:00,1.11261,1.11261,1.11053,1.11132,38892.85
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-36,2024-08-28T20:00:00+00:00,1.11132,1.11261,1.11123,1.11244,9872.46
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-35,2024-08-29T00:00:00+00:00,1.11245,1.11357,1.11241,1.11356,20936.15
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-34,2024-08-29T04:00:00+00:00,1.11357,1.11399,1.11162,1.11299,24914.52
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-33,2024-08-29T08:00:00+00:00,1.11299,1.11299,1.10719,1.10958,57384.27
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-32,2024-08-29T12:00:00+00:00,1.10956,1.10976,1.10556,1.10848,91667.83
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-31,2024-08-29T16:00:00+00:00,1.10849,1.10879,1.10747,1.10757,38167.87
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-30,2024-08-29T20:00:00+00:00,1.10756,1.1083,1.10743,1.108,6626.61
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-29,2024-08-30T00:00:00+00:00,1.10802,1.10828,1.10697,1.10737,21569.85
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-28,2024-08-30T04:00:00+00:00,1.10736,1.10888,1.10719,1.1084,31810.05
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-27,2024-08-30T08:00:00+00:00,1.10841,1.1095,1.10735,1.10813,48028.48
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-26,2024-08-30T12:00:00+00:00,1.10816,1.1088,1.1053,1.10597,108545.14
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-25,2024-08-30T16:00:00+00:00,1.10596,1.10597,1.10438,1.10527,48101.51
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-24,2024-08-30T20:00:00+00:00,1.10525,1.10551,1.10453,1.10456,8984.81
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-23,2024-09-01T20:00:00+00:00,1.10462,1.10496,1.1044,1.10446,8172.49
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-22,2024-09-02T00:00:00+00:00,1.10445,1.10556,1.10419,1.10484,22527.57
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-21,2024-09-02T04:00:00+00:00,1.10485,1.10702,1.10439,1.10666,30543.35
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-20,2024-09-02T08:00:00+00:00,1.10666,1.10773,1.10596,1.10596,44526.53
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-19,2024-09-02T12:00:00+00:00,1.10594,1.10718,1.10585,1.10678,27989.9
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-18,2024-09-02T16:00:00+00:00,1.10678,1.10727,1.10623,1.10722,4889.77
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-17,2024-09-02T20:00:00+00:00,1.10721,1.10727,1.10613,1.1067,3212.62
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-16,2024-09-03T00:00:00+00:00,1.10671,1.10702,1.10573,1.10579,13703.99
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-15,2024-09-03T04:00:00+00:00,1.10579,1.10676,1.1051,1.1056,25219.04
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-14,2024-09-03T08:00:00+00:00,1.10557,1.10596,1.1033,1.10363,43043.15
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-13,2024-09-03T12:00:00+00:00,1.10362,1.1069,1.10335,1.10422,122724.34
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-12,2024-09-03T16:00:00+00:00,1.10424,1.1047,1.10263,1.10418,39058.55
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-11,2024-09-03T20:00:00+00:00,1.10418,1.10503,1.10363,1.10485,10871.46
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-10,2024-09-04T00:00:00+00:00,1.10485,1.10562,1.10464,1.1054,26207.24
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-9,2024-09-04T04:00:00+00:00,1.10538,1.10628,1.10468,1.10559,35526.26
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-8,2024-09-04T08:00:00+00:00,1.10556,1.10588,1.10427,1.10503,37061.5
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-7,2024-09-04T12:00:00+00:00,1.10503,1.10951,1.104,1.10809,79017.51
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-6,2024-09-04T16:00:00+00:00,1.10809,1.10865,1.10653,1.10781,26139.44
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-5,2024-09-04T20:00:00+00:00,1.10782,1.10863,1.10755,1.10801,9808.78
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-4,2024-09-05T00:00:00+00:00,1.108,1.10854,1.10756,1.10769,20890.61
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-3,2024-09-05T04:00:00+00:00,1.10769,1.10903,1.10746,1.10871,29012.58
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-2,2024-09-05T08:00:00+00:00,1.1087,1.11082,1.1084,1.1095,44321.08
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-1,2024-09-05T12:00:00+00:00,1.10952,1.11197,1.10762,1.10952,99402.83
19,2024-09-05T16:00:00+00:00,trending,vol_spike,0,2024-09-05T16:00:00+00:00,1.10952,1.11132,1.10952,1.11036,33157.26
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-50,2024-09-09T04:00:00+00:00,1.10798,1.10802,1.10549,1.10591,33684.76
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-49,2024-09-09T08:00:00+00:00,1.10591,1.10624,1.10357,1.10448,43414.97
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-48,2024-09-09T12:00:00+00:00,1.10448,1.1052,1.1034,1.10415,56576.72
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-47,2024-09-09T16:00:00+00:00,1.10414,1.10536,1.10376,1.10382,36197.43
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-46,2024-09-09T20:00:00+00:00,1.10382,1.10396,1.10331,1.10352,8812.02
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-45,2024-09-10T00:00:00+00:00,1.10352,1.10391,1.10283,1.10384,18018.99
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-44,2024-09-10T04:00:00+00:00,1.10384,1.10496,1.10337,1.1037,32368.36
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-43,2024-09-10T08:00:00+00:00,1.1037,1.10438,1.10267,1.10312,38902.22
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-42,2024-09-10T12:00:00+00:00,1.10311,1.10368,1.10151,1.1025,67439.89
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-41,2024-09-10T16:00:00+00:00,1.10251,1.10288,1.10205,1.10268,22864.18
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-40,2024-09-10T20:00:00+00:00,1.10267,1.1027,1.10182,1.102,8427.03
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-39,2024-09-11T00:00:00+00:00,1.102,1.10443,1.10166,1.10385,29686.51
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-38,2024-09-11T04:00:00+00:00,1.10386,1.1052,1.10379,1.10412,28586.19
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-37,2024-09-11T08:00:00+00:00,1.10412,1.10549,1.10366,1.10436,38801.12
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-36,2024-09-11T12:00:00+00:00,1.10435,1.10488,1.10019,1.1012,134281.14
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-35,2024-09-11T16:00:00+00:00,1.10119,1.10265,1.10097,1.10174,43643.08
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-34,2024-09-11T20:00:00+00:00,1.10175,1.1018,1.10101,1.10102,8665.03
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-33,2024-09-12T00:00:00+00:00,1.10101,1.1014,1.10059,1.10136,22141.87
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-32,2024-09-12T04:00:00+00:00,1.10136,1.10238,1.10059,1.10076,28375.91
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-31,2024-09-12T08:00:00+00:00,1.10077,1.10235,1.10055,1.10138,44363.0
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-30,2024-09-12T12:00:00+00:00,1.10139,1.10471,1.10089,1.10401,103633.42
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-29,2024-09-12T16:00:00+00:00,1.10401,1.10716,1.1037,1.10703,51503.11
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-28,2024-09-12T20:00:00+00:00,1.10704,1.10791,1.10685,1.10789,12981.45
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-27,2024-09-13T00:00:00+00:00,1.10786,1.10902,1.10775,1.10869,28632.22
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-26,2024-09-13T04:00:00+00:00,1.1087,1.1094,1.1073,1.10924,32282.68
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-25,2024-09-13T08:00:00+00:00,1.10924,1.11007,1.10812,1.10841,60109.45
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-24,2024-09-13T12:00:00+00:00,1.10842,1.11017,1.10791,1.10844,68492.74
20,2024-09-19T08:00:00+00:00,trending,vol_spike,-23,2024-09-13T16:00:00+00:00,1.10845,1.10858,1.1076,1.10777,30236.7
